Year,Country,Product,iso3code,hhi,Stability value,CRI score,Domestic Production Value
2000,ARGENTINA,TIN,ARG,0.102412973025501,0.1,60.0,
2000,ARGENTINA,TUNGSTEN,ARG,0.102412973025501,0.1,60.0,
2000,ARGENTINA,URANIUM,ARG,0.102412973025501,0.1,60.0,
2000,ARGENTINA,ZINC,ARG,0.102412973025501,0.1,60.0,34858.0
2000,ARGENTINA,NATURAL GAS,ARG,0.102412973025501,0.1,60.0,26558294.250000007
2000,ARGENTINA,PETROLEUM,ARG,0.102412973025501,0.1,60.0,41347472.47087444
2000,ARMENIA,BARYTES,ARM,0.134392198284593,-0.68,98.17,
2000,ARMENIA,BISMUTH,ARM,0.134392198284593,-0.68,98.17,
2000,ARMENIA,CADMIUM,ARM,0.134392198284593,-0.68,98.17,
2000,ARMENIA,COPPER,ARM,0.134392198284593,-0.68,98.17,12234.0
2000,ARMENIA,GOLD,ARM,0.134392198284593,-0.68,98.17,900.0
2000,ARMENIA,MOLYBDENUM,ARM,0.134392198284593,-0.68,98.17,3082.0
2000,ARMENIA,SILVER,ARM,0.134392198284593,-0.68,98.17,0.0
2000,ARMENIA,ZINC,ARM,0.134392198284593,-0.68,98.17,528.0
2000,ANTIGUA AND BARBUDA,,ATG,0.342621626251369,0.71,118.0,
2000,AUSTRALIA,ALUMINIUM,AUS,0.0756250342212481,1.33,28.0,53802000.0
2000,AUSTRALIA,ANTIMONY,AUS,0.0756250342212481,1.33,28.0,2200.0
2000,AUSTRALIA,BARYTES,AUS,0.0756250342212481,1.33,28.0,14000.0
2000,AUSTRALIA,BISMUTH,AUS,0.0756250342212481,1.33,28.0,
2000,AUSTRALIA,CADMIUM,AUS,0.0756250342212481,1.33,28.0,525.0
2000,AUSTRALIA,CHROMIUM,AUS,0.0756250342212481,1.33,28.0,74260.0
2000,AUSTRALIA,COBALT,AUS,0.0756250342212481,1.33,28.0,1704.0
2000,AUSTRALIA,COPPER,AUS,0.0756250342212481,1.33,28.0,832000.0
2000,AUSTRALIA,GOLD,AUS,0.0756250342212481,1.33,28.0,296420.0
2000,AUSTRALIA,IRON,AUS,0.0756250342212481,1.33,28.0,171508000.0
2000,AUSTRALIA,LEAD,AUS,0.0756250342212481,1.33,28.0,651000.0
2000,AUSTRALIA,LITHIUM,AUS,0.0756250342212481,1.33,28.0,65504.0
2000,AUSTRALIA,MAGNESITE,AUS,0.0756250342212481,1.33,28.0,349538.0
2000,AUSTRALIA,MANGANESE,AUS,0.0756250342212481,1.33,28.0,1613000.0
2000,AUSTRALIA,MERCURY,AUS,0.0756250342212481,1.33,28.0,0.0
